trial,START,SPLIT,TICK,MACRO,FEAT,YWIN,PRUNEWIN,PRUNEDOWN,THRESH,NESTIM,TOPIMP,IMPDECAY,RF_WEIGHT,TRANS_WEIGHT,BATCH,LBACK,PRED_DAYS,DROPOUT,DECAY,SHORT_PER,MED_PER,LONG_PER,INIT_LR,EXP_PEN,EXP_EXP,RETURN_PEN,RETURN_EXP,SD_PEN,SD_EXP,Z_LOC,Z_ANCH,ANCH_DECAY,SEED,MAX_HEADS,LAYERS,EARLY_FAIL,VAL_SPLIT,TEST_CHUNK,D,sharpe,down,CAGR,avg_bench_perf,exp_delta,score
4,2012-01-01,2017-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE","^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F","ret,price,logret,rollret,sma,ema,momentum,macd,pricevshigh,vol,atr,range,volchange,volptile,zscore,rsi,cmo,williams,stoch,priceptile,meanabsret,boll,donchian,volume,lag,retcrossz,crossmomentumz,crossvolz,crossretrank",21,24,1.3204761367650948,175,192,30,0.9524756431632238,0.43194501864211576,0.058245828039608386,57,84,6,0.03771491690014621,0.003190861119627664,14,21,69,0.005430727411696868,0.23428392297076622,1.8,0.073,0.28,0.17,0.76,0.8195600506358935,0.009225981423079288,0.99737139944604,42,2,5,5,0.15,12,999999.0,1.54391008,-0.24782664000000001,0.53614928,0.40049401,22425.1177,100.59309952
5,2012-01-01,2017-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE","^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F","ret,price,logret,rollret,sma,ema,momentum,macd,pricevshigh,vol,atr,range,volchange,volptile,zscore,rsi,cmo,williams,stoch,priceptile,meanabsret,boll,donchian,volume,lag,retcrossz,crossmomentumz,crossvolz,crossretrank",21,24,1.3204761367650948,175,192,61,0.9139493860652042,0.29214464853521815,0.07327236865873835,57,84,6,0.03771491690014621,0.003190861119627664,14,21,69,0.005430727411696868,0.23428392297076622,1.8,0.073,0.28,0.17,0.76,0.8195600506358935,0.009225981423079288,0.99737139944604,42,2,5,5,0.15,12,999999.0,1.54422425,-0.29068068,0.59287478,0.51400684,28627.0983,100.39301495
10,2012-01-01,2017-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE","^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F","ret,price,logret,rollret,sma,ema,momentum,macd,pricevshigh,vol,atr,range,volchange,volptile,zscore,rsi,cmo,williams,stoch,priceptile,meanabsret,boll,donchian,volume,lag,retcrossz,crossmomentumz,crossvolz,crossretrank",21,24,1.3204761367650948,175,192,95,0.9390938851173833,0.42997719850486615,0.003592375122963884,57,84,6,0.03771491690014621,0.003190861119627664,14,21,69,0.005430727411696868,0.23428392297076622,1.8,0.073,0.28,0.17,0.76,0.8195600506358935,0.009225981423079288,0.99737139944604,42,2,5,5,0.15,12,999999.0,1.4491079400000002,-0.20729219000000002,0.34088622999999996,0.15980833,38721.3364,100.54624103
12,2012-01-01,2017-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE","^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F","ret,price,logret,rollret,sma,ema,momentum,macd,pricevshigh,vol,atr,range,volchange,volptile,zscore,rsi,cmo,williams,stoch,priceptile,meanabsret,boll,donchian,volume,lag,retcrossz,crossmomentumz,crossvolz,crossretrank",21,24,1.3204761367650948,175,192,79,0.9420664486038292,0.42126253047850626,0.0020766259815004637,57,84,6,0.03771491690014621,0.003190861119627664,14,21,69,0.005430727411696868,0.23428392297076622,1.8,0.073,0.28,0.17,0.76,0.8195600506358935,0.009225981423079288,0.99737139944604,42,2,5,5,0.15,12,999999.0,1.3033306500000001,-0.24304828,0.302764,0.12158671,32347.8438,100.14780497
22,2012-01-01,2017-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE","^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F","ret,price,logret,rollret,sma,ema,momentum,macd,pricevshigh,vol,atr,range,volchange,volptile,zscore,rsi,cmo,williams,stoch,priceptile,meanabsret,boll,donchian,volume,lag,retcrossz,crossmomentumz,crossvolz,crossretrank",21,24,1.3204761367650948,175,192,58,0.9013100206471696,0.26690375207555267,0.10649907804601254,57,84,6,0.03771491690014621,0.003190861119627664,14,21,69,0.005430727411696868,0.23428392297076622,1.8,0.073,0.28,0.17,0.76,0.8195600506358935,0.009225981423079288,0.99737139944604,42,2,5,5,0.15,12,999999.0,1.68882076,-0.22609235000000003,0.62882543,0.55473931,25363.5223,100.96109209
23,2012-01-01,2017-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE","^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F","ret,price,logret,rollret,sma,ema,momentum,macd,pricevshigh,vol,atr,range,volchange,volptile,zscore,rsi,cmo,williams,stoch,priceptile,meanabsret,boll,donchian,volume,lag,retcrossz,crossmomentumz,crossvolz,crossretrank",21,24,1.3204761367650948,175,192,23,0.981970830275553,0.24841666876589477,0.12882540501453082,57,84,6,0.03771491690014621,0.003190861119627664,14,21,69,0.005430727411696868,0.23428392297076622,1.8,0.073,0.28,0.17,0.76,0.8195600506358935,0.009225981423079288,0.99737139944604,42,2,5,5,0.15,12,999999.0,1.38125646,-0.31859798,0.47233545,0.38709189,26211.1975,99.94200402999999
0,2012-01-01,2017-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE","^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F","ret,price,logret,rollret,sma,ema,momentum,macd,pricevshigh,vol,atr,range,volchange,volptile,zscore,rsi,cmo,williams,stoch,priceptile,meanabsret,boll,donchian,volume,lag,retcrossz,crossmomentumz,crossvolz,crossretrank",21,24,1.3204761367650948,175,192,58,0.9013100206471696,0.26690375207555267,0.10649907804601254,57,84,6,0.03771491690014621,0.003190861119627664,14,21,69,0.005430727411696868,0.23428392297076622,1.8,0.073,0.28,0.17,0.76,0.7799515162425443,0.0,1.0,42,2,5,5,0.15,12,999999.0,1.03592415,-0.27485135,0.21096459,0.0007522900000000001,40095.3954,99.59778064
1,2012-01-01,2017-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE","^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F","ret,price,logret,rollret,sma,ema,momentum,macd,pricevshigh,vol,atr,range,volchange,volptile,zscore,rsi,cmo,williams,stoch,priceptile,meanabsret,boll,donchian,volume,lag,retcrossz,crossmomentumz,crossvolz,crossretrank",21,24,1.3204761367650948,175,192,58,0.9013100206471696,0.26690375207555267,0.10649907804601254,57,84,6,0.03771491690014621,0.003190861119627664,14,21,69,0.005430727411696868,0.23428392297076622,1.8,0.073,0.28,0.17,0.76,0.7799515162425443,0.0,1.0,42,2,5,5,0.15,12,999999.0,1.03592415,-0.27485135,0.21096459,0.0007522900000000001,40095.3954,99.59778064
2,2012-01-01,2017-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE","^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F","ret,price,logret,rollret,sma,ema,momentum,macd,pricevshigh,vol,atr,range,volchange,volptile,zscore,rsi,cmo,williams,stoch,priceptile,meanabsret,boll,donchian,volume,lag,retcrossz,crossmomentumz,crossvolz,crossretrank",21,24,1.3204761367650948,175,192,58,0.9013100206471696,0.26690375207555267,0.10649907804601254,57,84,6,0.03771491690014621,0.003190861119627664,14,21,69,0.005430727411696868,0.23428392297076622,1.8,0.073,0.28,0.17,0.76,0.7799515162425443,0.0,1.0,42,2,5,5,0.15,12,999999.0,1.03592415,-0.27485135,0.21096459,0.0007522900000000001,40095.3954,99.59778064
0,2012-01-01,2017-01-01,"JPM, MSFT, NVDA, AVGO, LLY, COST, MA, XOM, UNH, AMZN, CAT, ADBE","^GSPC,CL=F,SI=F,NG=F,HG=F,ZC=F,^IRX,TLT,IEF,UUP,HYG,EEM,VEA,FXI,^RUT,^FTSE,^TYX,AUDUSD=X,USDJPY=X,EURUSD=X,GBPUSD=X,ZW=F,GC=F","ret,price,logret,rollret,sma,ema,momentum,macd,pricevshigh,vol,atr,range,volchange,volptile,zscore,rsi,cmo,williams,stoch,priceptile,meanabsret,boll,donchian,volume,lag,retcrossz,crossmomentumz,crossvolz,crossretrank",21,24,1.3204761367650948,175,192,0,1.0,1.0,0.0,57,84,6,0.03771491690014621,0.003190861119627664,14,21,69,0.005430727411696868,0.23428392297076622,1.8,0.073,0.28,0.17,0.76,0.7799515162425443,0.3745401188473625,1.0,42,2,5,5,0.15,12,999999.0,1.33187697,-0.26121246,0.3556662,0.17261836,35553.0427,100.12026841
