Date,ADBE,AMZN,AVGO,CAT,COST,JPM,LLY,MA,MSFT,NVDA,UNH,XOM,total
2017-01-03,0.41891006,0.4760603,0.4936098,-0.3547278,0.11676672,0.19744468,0.20415334,0.24746889,0.04737331,0.14594729,0.5377971,-0.069043644,0.0
2017-01-04,0.41167912,0.46702063,0.48513234,-0.34851986,0.11596323,0.1933137,0.19944929,0.24291977,0.04699967,0.145638,0.5294405,-0.06781611,18.347645
2017-01-05,0.4093068,0.46410206,0.48243612,-0.3458344,0.11586533,0.19196776,0.19749916,0.24147268,0.04704353,0.14616342,0.5266318,-0.06712967,6.8784294
2017-01-06,0.40645632,0.46027577,0.4784436,-0.34713006,0.11450521,0.19026972,0.19809689,0.23936993,0.04588342,0.14215985,0.52357036,-0.068351604,13.5616665
2017-01-09,0.41219503,0.4673618,0.48492873,-0.35332373,0.11477692,0.19352235,0.20267601,0.24286851,0.045829028,0.14105228,0.5302589,-0.069913,16.270536
2017-01-10,0.41477397,0.47025442,0.4871651,-0.36019152,0.11378205,0.19491173,0.20738612,0.24411216,0.04471446,0.13637967,0.5335545,-0.07246254,18.083208
2017-01-11,0.40645355,0.45971024,0.47705168,-0.35506886,0.11229238,0.1901195,0.20329808,0.23870714,0.043736383,0.13392094,0.5240604,-0.071974404,22.142971
2017-01-12,0.40910235,0.46284646,0.47972614,-0.3598034,0.1119024,0.19158706,0.20663409,0.24016894,0.043209907,0.13148284,0.52727526,-0.073546596,12.422591
2017-01-13,0.405829,0.45870838,0.47576195,-0.35764068,0.11135257,0.18970415,0.20493762,0.23805219,0.042863514,0.13065165,0.52352136,-0.07329194,8.790117
2017-01-17,0.40522733,0.45750874,0.4739982,-0.36336544,0.10957025,0.18925035,0.20861517,0.23716658,0.041165136,0.124214515,0.52325124,-0.07602313,19.054825
2017-01-18,0.40186486,0.45292413,0.4691252,-0.36591005,0.10773383,0.18722643,0.20994638,0.23462436,0.03956945,0.11855397,0.51975375,-0.07792492,19.619083
2017-01-19,0.4029702,0.45432982,0.4705021,-0.3664991,0.10796584,0.18786448,0.21041399,0.2353523,0.039726958,0.11900492,0.5210261,-0.07794119,3.1731248
