feature,avg_score,split_date,start_date
boll_Lower_12_LLY,0.28128712347053336,2017-01-01,2014-11-01
macd_ADBE,0.06445710428326297,2017-01-01,2014-11-01
mean_abs_ret_8_CAT,0.05962920787456572,2017-01-01,2014-11-01
boll_Lower_8_LLY,0.031071013873404933,2017-01-01,2014-11-01
adx_12_AVGO,0.024756415903155908,2017-01-01,2014-11-01
cmo_24_ADBE,0.021437381059421768,2017-01-01,2014-11-01
donchian_24_MSFT,0.02028642984756802,2017-01-01,2014-11-01
rsi_24_ADBE,0.018760062603477207,2017-01-01,2014-11-01
mean_abs_ret_12_CAT,0.017156146557849083,2017-01-01,2014-11-01
adx_24_MA,0.014938338629276158,2017-01-01,2014-11-01
mean_abs_ret_24_JPM,0.01418530936675481,2017-01-01,2014-11-01
macd_XOM,0.011128649531141175,2017-01-01,2014-11-01
boll_Lower_24_UNH,0.010817000434774772,2017-01-01,2014-11-01
boll_Upper_24_UNH,0.008859798556065269,2017-01-01,2014-11-01
roll_ret_24_ADBE,0.008133822273789415,2017-01-01,2014-11-01
price_vs_high_24_XOM,0.0072603726018327505,2017-01-01,2014-11-01
sma_24_UNH,0.006072160288677351,2017-01-01,2014-11-01
adx_24_UNH,0.005754477817293193,2017-01-01,2014-11-01
stoch_24_AVGO,0.005152130125436054,2017-01-01,2014-11-01
adx_8_MSFT,0.0048384303233741,2017-01-01,2014-11-01
adx_24_AVGO,0.004765863421927343,2017-01-01,2014-11-01
macd_LLY,0.004313051551938515,2017-01-01,2014-11-01
adx_24_MSFT,0.004265459515215886,2017-01-01,2014-11-01
zscore_24_AVGO,0.004229464236515562,2017-01-01,2014-11-01
donchian_12_JPM,0.003986330035589416,2017-01-01,2014-11-01
mean_abs_ret_24_CAT,0.0036327542467037566,2017-01-01,2014-11-01
donchian_24_JPM,0.0036003464086504706,2017-01-01,2014-11-01
boll_Lower_24_LLY,0.0035315218460927724,2017-01-01,2014-11-01
mean_abs_ret_24_ADBE,0.0034811207416983276,2017-01-01,2014-11-01
stoch_8_CAT,0.0034300447178033868,2017-01-01,2014-11-01
price_vs_high_8_LLY,0.0032786136188528363,2017-01-01,2014-11-01
roll_ret_24_XOM,0.0032428383368854593,2017-01-01,2014-11-01
zscore_24_MA,0.0031381206571497507,2017-01-01,2014-11-01
price_vs_high_24_ADBE,0.002864073892210664,2017-01-01,2014-11-01
donchian_12_XOM,0.002709568506110081,2017-01-01,2014-11-01
mean_abs_ret_12_AMZN,0.0026347361701391813,2017-01-01,2014-11-01
boll_Upper_8_UNH,0.0024782207177922624,2017-01-01,2014-11-01
adx_24_LLY,0.0024744203187477445,2017-01-01,2014-11-01
mean_abs_ret_12_ADBE,0.002454366876260051,2017-01-01,2014-11-01
