feature,avg_score,split_date,start_date
bollupper_48_XOM,0.22540761154409522,2019-01-01,2017-01-01
zscore_24_AVGO,0.11790076720290833,2019-01-01,2017-01-01
stoch_48_XOM,0.04890785601349456,2019-01-01,2017-01-01
bollupper_24_XOM,0.04716434193105704,2019-01-01,2017-01-01
bollupper_10_COST,0.044095555079511406,2019-01-01,2017-01-01
bollupper_48_COST,0.03079452250138578,2019-01-01,2017-01-01
atr_24_XOM,0.022777339805567374,2019-01-01,2017-01-01
atr_24_UNH,0.01921856223630238,2019-01-01,2017-01-01
adx_48_MA,0.0180347455369536,2019-01-01,2017-01-01
bolllower_48_LLY,0.017798264706044523,2019-01-01,2017-01-01
stoch_24_AVGO,0.014448030136001464,2019-01-01,2017-01-01
adx_10_CAT,0.011773722398172232,2019-01-01,2017-01-01
adx_10_XOM,0.008930827578032513,2019-01-01,2017-01-01
sma_10_CAT,0.008668205476214304,2019-01-01,2017-01-01
zscore_48_ADBE,0.008243087974951756,2019-01-01,2017-01-01
adx_48_COST,0.0074030273408729795,2019-01-01,2017-01-01
ema_10_CAT,0.0070056174131866555,2019-01-01,2017-01-01
macd_ADBE,0.006508901658919491,2019-01-01,2017-01-01
adx_24_NVDA,0.006359705158012561,2019-01-01,2017-01-01
macd_NVDA,0.005307820086582065,2019-01-01,2017-01-01
adx_48_XOM,0.0051921489000661064,2019-01-01,2017-01-01
ema_48_XOM,0.005049786897765368,2019-01-01,2017-01-01
donchian_24_AVGO,0.004985292917404747,2019-01-01,2017-01-01
adx_48_AMZN,0.0048571398426891605,2019-01-01,2017-01-01
williams_10_COST,0.004333864247585721,2019-01-01,2017-01-01
bollupper_48_LLY,0.004114999799721554,2019-01-01,2017-01-01
stoch_48_AVGO,0.004114625009354085,2019-01-01,2017-01-01
atr_48_NVDA,0.004013252806227246,2019-01-01,2017-01-01
adx_10_ADBE,0.0038187962597038723,2019-01-01,2017-01-01
adx_48_LLY,0.0034464095358910426,2019-01-01,2017-01-01
donchian_48_AVGO,0.003221376431525602,2019-01-01,2017-01-01
zscore_48_AVGO,0.0030882304508549284,2019-01-01,2017-01-01
adx_48_JPM,0.002971630227692987,2019-01-01,2017-01-01
zscore_24_ADBE,0.002876798488033643,2019-01-01,2017-01-01
bollupper_24_CAT,0.0028703496192503787,2019-01-01,2017-01-01
volptile_24_AMZN,0.002864833990203375,2019-01-01,2017-01-01
volptile_24_MSFT,0.002863388628400782,2019-01-01,2017-01-01
atr_24_MSFT,0.0027765543328373567,2019-01-01,2017-01-01
sma_48_LLY,0.002720356203254325,2019-01-01,2017-01-01
donchian_48_ADBE,0.0025525679633325686,2019-01-01,2017-01-01
sma_10_COST,0.0024913310907235357,2019-01-01,2017-01-01
stoch_24_MSFT,0.0024556401145125594,2019-01-01,2017-01-01
price_JPM,0.002422721875652129,2019-01-01,2017-01-01
volptile_24_LLY,0.002408951495189275,2019-01-01,2017-01-01
stoch_24_LLY,0.0023599240378140147,2019-01-01,2017-01-01
price_XOM,0.002320531607974445,2019-01-01,2017-01-01
ema_24_COST,0.0022936602846541612,2019-01-01,2017-01-01
bollupper_24_COST,0.0022597630371830697,2019-01-01,2017-01-01
adx_24_ADBE,0.002215873232836932,2019-01-01,2017-01-01
adx_24_COST,0.002181158091122592,2019-01-01,2017-01-01
price_CAT,0.002177380953507772,2019-01-01,2017-01-01
donchian_24_NVDA,0.0020416101437170783,2019-01-01,2017-01-01
donchian_48_NVDA,0.002030326145852955,2019-01-01,2017-01-01
atr_48_JPM,0.0019525627363354684,2019-01-01,2017-01-01
pricevshigh_48_COST,0.0019506978105462195,2019-01-01,2017-01-01
donchian_24_LLY,0.0018692316838914346,2019-01-01,2017-01-01
adx_10_JPM,0.001850818704941458,2019-01-01,2017-01-01
bolllower_24_LLY,0.001803932860636576,2019-01-01,2017-01-01
donchian_48_COST,0.0017608008745794818,2019-01-01,2017-01-01
ema_10_LLY,0.0016805311212286802,2019-01-01,2017-01-01
stoch_48_UNH,0.0016681387521121074,2019-01-01,2017-01-01
rsi_48_CAT,0.0016568748333727226,2019-01-01,2017-01-01
stoch_48_ADBE,0.0016504724783977618,2019-01-01,2017-01-01
stoch_24_ADBE,0.0016371565000952606,2019-01-01,2017-01-01
rsi_10_JPM,0.0016233830731466818,2019-01-01,2017-01-01
momentum_24_AVGO,0.001604068918445176,2019-01-01,2017-01-01
donchian_24_MSFT,0.0015968637946749272,2019-01-01,2017-01-01
pricevshigh_48_AVGO,0.0015531687369976248,2019-01-01,2017-01-01
atr_48_LLY,0.0015472598937622084,2019-01-01,2017-01-01
volptile_48_XOM,0.0015423296185855429,2019-01-01,2017-01-01
cmo_48_CAT,0.0014738003682989716,2019-01-01,2017-01-01
